"","district","town"
"248","萬華區","頂碩里"
"249","大同區","雙連里"
"250","萬華區","新安里"
"251","北投區","中央里"
"252","中正區","文北里"
"253","大安區","龍淵里"
"254","中山區","大直里"
"255","北投區","智仁里"
"256","內湖區","湖濱里"
"257","內湖區","湖濱里"
"258","內湖區","湖濱里"
"259","大同區","星明里"
"260","萬華區","全德里"
"261","松山區","三民里"
"262","萬華區","日祥里"
"263","士林區","天福里"
"264","內湖區","港墘里"
"265","北投區","關渡里"
"266","士林區","蘭興里"
"267","萬華區","孝德里"
"268","萬華區","富民里"
"269","文山區","試院里"
"270","北投區","林泉里"
"271","松山區","慈祐里"
"272","中正區","河堤里"
"273","北投區","一德里"
"274","南港區","新富里"
"275","大安區","通化里"
"276","內湖區","樂康里"
"277","中山區","成功里"
"278","大同區","朝陽里"
"279","內湖區","金龍里"
"280","文山區","順興里"
"281","南港區","舊莊里"
"282","中山區","正義里"
"283","信義區","三犁里"
"284","文山區","政大里"
"285","中山區","中山里"
"286","松山區","中正里"
"287","大安區","正聲里"
"288","文山區","政大里"
"289","士林區","福志里"
"290","北投區","吉慶里"
"291","信義區","三張里"
"292","中正區","南福里"
"293","中正區","南福里"
"294","萬華區","青山里"
"295","中山區","行孝里"
"296","北投區","尊賢里"
"297","士林區","福志里"
"298","松山區","復勢里"
"299","大同區","鄰江里"
"300","士林區","承德里"
"301","北投區","立農里"
"302","中正區","網溪里"
"303","大安區","通化里"
"304","士林區","義信里"
"305","大安區","通化里"
"306","內湖區","瑞光里"
"307","南港區","東新里"
"308","士林區","天玉里"
"309","士林區","社新里"
"310","士林區","蘭興里"
"311","萬華區","柳鄉里"
"312","大安區","正聲里"
"313","萬華區","忠貞里"
"314","士林區","福志里"
"315","信義區","雅祥里"
"316","大安區","龍安里"
"317","士林區","蘭雅里"
"318","士林區","社子里"
"319","士林區","舊佳里"
"320","士林區","社子里"
"321","士林區","社子里"
"322","萬華區","青山里"
"323","中山區","康樂里"
"324","文山區","順興里"
"325","南港區","舊莊里"
"326","士林區","社子里"
"327","士林區","明勝里"
"328","士林區","天山里"
"329","內湖區","西康里"
"330","北投區","永和里"
"331","松山區","精忠里"
"332","士林區","蘭雅里"
"333","士林區","天玉里"
"334","大同區","重慶里"
"335","萬華區","新起里"
"336","內湖區","港富里"
"337","士林區","後港里"
"338","萬華區","西門里"
"339","北投區","關渡里"
"340","北投區","中央里"
"341","士林區","仁勇里"
