"","ACTIONID","Count","predict","group","district","town"
"101","DV00723632",3,1.93218873087697,2,"士林區","天和里"
"102","DV00725399",3,1.89353333333333,2,"內湖區","金湖里"
"103","DVP0137274",3,1.91410383394383,2,"內湖區","港墘里"
"104","DVP0137358",3,1.71206480741481,2,"信義區","正和里"
"105","DVP0137635",3,1.96936666666667,2,"內湖區","清白里"
"106","DVP0140482",3,1.79203095238095,2,"信義區","泰和里"
"107","DVP0142550",3,1.48474307751072,2,"松山區","東榮里"
"108","DVP0142758",3,1.90847777777778,2,"信義區","雅祥里"
"109","DVP0142824",3,1.848253781931,2,"士林區","天和里"
"110","DVP0144085",3,1.76547619047619,2,"內湖區","西康里"
"111","DVP0144494",3,1.98547556887557,2,"中正區","網溪里"
"112","DVP0144743",3,1.73105739244416,2,"士林區","天祿里"
"113","DVP0145493",3,1.73608178932179,2,"士林區","福華里"
"114","DVP0145495",3,1.8016,2,"士林區","福華里"
"115","DVP0146202",3,1.97423333333333,2,"內湖區","金龍里"
"116","DVP0146744",3,1.86946666666667,2,"中山區","朱園里"
"117","DVP0148597",3,1.92732451052216,2,"松山區","東榮里"
"118","DVP0148662",3,1.96481666666667,2,"松山區","東榮里"
"119","DVP0149203",3,1.95639581307581,2,"文山區","樟文里"
"120","DVP0149787",3,1.91473349282297,2,"南港區","聯成里"
"121","DVP0150530",3,1.88078629148629,2,"士林區","芝山里"
"122","DVP0150540",3,1.95886938527923,2,"士林區","芝山里"
"123","DVP0153011",3,1.91415,2,"北投區","長安里"
"124","DVP0153210",3,1.93005,2,"北投區","長安里"
"125","DVP0154443",3,1.97281024531024,2,"士林區","後港里"
"126","DVP0155614",3,1.751,2,"中山區","朱園里"
"127","DVP0155664",3,1.69844536754096,2,"內湖區","港墘里"
"128","DVP0156482",3,1.93678226682321,2,"大安區","建安里"
"129","DVP0157473",3,1.95585,2,"松山區","東榮里"
"130","DVP0157759",3,1.93220238095238,2,"內湖區","港墘里"
"131","DVP0160469",3,1.68045873015873,2,"中正區","文北里"
"132","DVP0160499",3,1.90263333333333,2,"大安區","建安里"
"133","DVP0161075",3,1.94377739862477,2,"士林區","芝山里"
"134","DVP0161078",3,1.95886938527923,2,"士林區","芝山里"
"135","DVP0161263",3,1.4068898989899,2,"南港區","聯成里"
"136","DVP0161678",3,1.74307994191481,2,"萬華區","興德里"
"137","DVP0164351",3,1.52735432900433,2,"內湖區","清白里"
"138","DVP0164616",3,1.91276666666667,2,"內湖區","金龍里"
"139","DVP0166020",3,1.99003787878788,2,"士林區","葫東里"
"140","DVP0173052",3,1.48340483653601,2,"內湖區","港華里"
"141","DVP0173061",3,1.91409288489289,2,"內湖區","港華里"
"142","DVP0173311",3,1.78845559006211,2,"北投區","長安里"
"143","DVP0173703",3,1.95733968253968,2,"信義區","泰和里"
"144","DVP0175071",3,1.92509437229437,2,"松山區","東勢里"
"145","DVP0177037",3,1.8606383005883,2,"大同區","斯文里"
"146","DVP0179262",3,1.37707777777778,2,"士林區","天和里"
"147","DVP0179933",3,1.95656666666667,2,"松山區","富錦里"
"148","DVP0183561",3,1.85096263850529,2,"中正區","網溪里"
"149","DVP0186795",3,1.7737,2,"北投區","長安里"
"150","DVP0187640",3,1.6908619047619,2,"內湖區","金龍里"
"151","DVP0187659",3,1.92056666666667,2,"內湖區","金龍里"
"152","DVP0187697",3,1.80054085213033,2,"松山區","東勢里"
"153","DVP0187703",3,1.9674691974692,2,"松山區","東勢里"
"154","DVP0189095",3,1.82591282051282,2,"中山區","朱園里"
"155","DVP0191086",3,1.93735652125652,2,"士林區","葫東里"
"156","DVP0191092",3,1.93377215007215,2,"士林區","葫東里"
"157","DVP0191122",3,1.99133333333333,2,"中山區","朱園里"
"158","DVP0192026",3,1.95256666666667,2,"內湖區","清白里"
"159","DVP0192037",3,1.9563,2,"內湖區","清白里"
"160","DVP0193844",3,1.64433333333333,2,"南港區","聯成里"
"161","DVP0199989",3,1.90201709401709,2,"內湖區","港華里"
"162","DVP0200653",3,1.92004473684211,2,"士林區","後港里"
"163","DVP0202236",3,1.70663190836941,2,"松山區","東勢里"
"164","DVP0202240",3,1.18239136076342,2,"松山區","東勢里"
"165","DVP0204740",3,1.87646671550671,2,"松山區","莊敬里"
"166","DVP0206061",3,1.82647849209614,2,"大同區","斯文里"
"167","DVP0206067",3,1.74906666666667,2,"大同區","斯文里"
"168","DVP0207111",3,1.98625,2,"士林區","芝山里"
"169","DVP0208229",3,1.71521931913116,2,"士林區","天玉里"
"170","DVP0208231",3,1.95360174357806,2,"士林區","天玉里"
"171","DVP0209306",3,1.9732,2,"中正區","文北里"
"172","DVP0210069",3,1.90903333333333,2,"松山區","莊敬里"
"173","DVP0210087",3,1.92871111111111,2,"松山區","莊敬里"
"174","DVP0210446",3,1.97458015873016,2,"中正區","文北里"
"175","DVP0210850",3,1.90314973607395,2,"士林區","天和里"
"176","DVP0210961",3,1.8703,2,"中正區","文北里"
"177","DI00400747",2,1.39170519480519,1,"萬華區","福星里"
"178","DI00401009",2,1.05338095238095,1,"大安區","義村里"
"179","DI00401115",2,1.1377581232493,1,"士林區","天祿里"
"180","DI00401124",2,1.25663333333333,1,NA,NA
"181","DI00401147",2,1.42206666666667,1,"南港區","玉成里"
"182","DI00401168",2,1.12533333333333,1,"大安區","仁愛里"
"183","DI00401431",2,1.22255456487956,1,"萬華區","和德里"
"184","DI00401592",2,1.1164,1,"北投區","裕民里"
"185","DI00401641",2,1.01356666666667,1,"中山區","康樂里"
"186","DI00401649",2,1.19964658119658,1,"士林區","永福里"
"187","DI00401652",2,1.59461666666667,1,"內湖區","行善里"
"188","DI00401708",2,1.24881428571429,1,"信義區","大道里"
"189","DI00402206",2,1.27593333333333,1,"信義區","三張里"
"190","DI00402368",2,1.34583333333333,1,"內湖區","金龍里"
"191","DI00402530",2,1.13845647685648,1,"士林區","福林里"
"192","DI00402532",2,1.29200393217893,1,"北投區","裕民里"
"193","DI00402535",2,1.23353333333333,1,"士林區","天祿里"
"194","DI00402637",2,1.05541428571429,1,"北投區","長安里"
"195","DI00402787",2,1.1839,1,"士林區","名山里"
"196","DI00402972",2,1.04113333333333,1,"北投區","中央里"
"197","DI00403377",2,1.32248808691309,1,"大同區","雙連里"
"198","DI00403723",2,1.10406825396825,1,"文山區","興福里"
"199","DI00404025",2,1.1041,1,"內湖區","安泰里"
"200","DI00404048",2,1.3003,1,"南港區","九如里"
"201","DI00404052",2,1.28427636363636,1,"南港區","玉成里"
"202","DI00404058",2,1.31776666666667,1,"南港區","九如里"
"203","DI00404167",2,1.69814540222849,1,"內湖區","東湖里"
"204","DI00404178",2,1.39720512820513,1,"士林區","德華里"
"205","DI00404322",2,1.21746666666667,1,"松山區","中崙里"
"206","DI00404479",2,1.2681,1,"士林區","聖山里"
"207","DI00404500",2,1.32504128974474,1,"南港區","中研里"
"208","DI00404532",2,1.2609,1,"士林區","天玉里"
"209","DI00404842",2,1.15517252747253,1,"士林區","忠誠里"
"210","DI00405353",2,1.47528618033755,1,"信義區","永吉里"
"211","DI00405354",2,1.31546428571429,1,"信義區","永吉里"
"212","DI00405465",2,1.02796666666667,1,"內湖區","港華里"
"213","DI00405517",2,1.19143333333333,1,"萬華區","富民里"
"214","DI00405526",2,1.3097911976912,1,"北投區","林泉里"
"215","DI00405577",2,1.41192023940112,1,"信義區","國業里"
"216","DI00405729",2,1.38476666666667,1,"南港區","南港里"
"217","DI00406039",2,1.19077142857143,1,"內湖區","五分里"
"218","DI00406042",2,1.12643333333333,1,"萬華區","和德里"
"219","DI00406095",2,1.2328776800427,1,"南港區","西新里"
"220","DI00406188",2,1.09040555555556,1,"內湖區","安泰里"
"221","DI00406215",2,1.37611666666667,1,"文山區","樟文里"
"222","DI00406265",2,1.14845,1,"文山區","樟新里"
"223","DI00406358",2,1.40426666666667,1,"北投區","建民里"
"224","DI00406405",2,1.186,1,"萬華區","萬壽里"
"225","DI00406544",2,1.24233613053613,1,"內湖區","大湖里"
"226","DI00406571",2,1.28165,1,"內湖區","石潭里"
"227","DI00406682",2,1.56592704517704,1,"文山區","興旺里"
"228","DI00406745",2,1.22199206349206,1,"萬華區","錦德里"
"229","DI00406789",2,1.2011619047619,1,"北投區","永欣里"
"230","DI00406790",2,1.23238986928105,1,"北投區","永欣里"
"231","DI00406883",2,1.26886666666667,1,"信義區","景聯里"
"232","DI00406974",2,1.01823333333333,1,"中山區","江寧里"
"233","DI00407092",2,1.10386666666667,1,"大同區","國順里"
"234","DI00407232",2,1.21782380952381,1,"南港區","合成里"
"235","DI00407407",2,1.43225497835498,1,"萬華區","頂碩里"
"236","DI00407518",2,1.43438484848485,1,"萬華區","新安里"
"237","DI00407599",2,1.34961072477574,1,"北投區","文林里"
"238","DI00407600",2,1.12010897435897,1,"大同區","老師里"
"239","DI00407610",2,1.13083333333333,1,"萬華區","榮德里"
"240","DI00407631",2,1.44296666666667,1,"萬華區","菜園里"
"241","DI00407685",2,1.19176666666667,1,"內湖區","西康里"
"242","DI00407687",2,1.5388,1,"北投區","大同里"
"243","DI00407776",2,1.48392817574582,1,"大同區","永樂里"
"244","DI00407784",2,1.33074230769231,1,"文山區","萬祥里"
"245","DI00407813",2,1.53251829118594,1,"內湖區","秀湖里"
"246","DI00407858",2,1.29919829476079,1,"信義區","五全里"
"247","DI00407901",2,1.22116666666667,1,"萬華區","頂碩里"
"248","DI00407920",2,1.46348771160212,1,"萬華區","頂碩里"
"249","DI00407927",2,1.10422438195791,1,"大同區","雙連里"
"250","DI00408142",2,1.17426666666667,1,"萬華區","新安里"
"251","DI00408214",2,1.60292928019693,1,"北投區","中央里"
"252","DI00408215",2,1.22259658258408,1,"中正區","文北里"
"253","DI00408335",2,1.17018982461982,1,"大安區","龍淵里"
"254","DI00408376",2,1.25886666666667,1,"中山區","大直里"
"255","DI00408424",2,1.39897777777778,1,"北投區","智仁里"
"256","DI00408434",2,1.19015364080364,1,"內湖區","湖濱里"
"257","DI00408460",2,1.5735,1,"內湖區","湖濱里"
"258","DI00408462",2,1.21539486461251,1,"內湖區","湖濱里"
"259","DI00408470",2,1.11696391941392,1,"大同區","星明里"
"260","DI00408731",2,1.11977161172161,1,"萬華區","全德里"
"261","DI00408801",2,1.07393333333333,1,"松山區","三民里"
"262","DI00408870",2,1.55402441839207,1,"萬華區","日祥里"
"263","DI00408889",2,1.64008785714286,1,"士林區","天福里"
"264","DI00408895",2,1.1302,1,"內湖區","港墘里"
"265","DI00408946",2,1.1395,1,"北投區","關渡里"
"266","DI00408999",2,1.11484761904762,1,"士林區","蘭興里"
"267","DI00409048",2,1.14166666666667,1,"萬華區","孝德里"
"268","DI00409062",2,1.2793380952381,1,"萬華區","富民里"
"269","DI00409079",2,1.19143565323565,1,"文山區","試院里"
"270","DI00409100",2,1.1004,1,"北投區","林泉里"
"271","DI00409167",2,1.32336666666667,1,"松山區","慈祐里"
"272","DI00409434",2,1.07706666666667,1,"中正區","河堤里"
"273","DI00409445",2,1.041375,1,"北投區","一德里"
"274","DI00409567",2,1.64466666666667,1,"南港區","新富里"
"275","DI00409591",2,1.01853333333333,1,"大安區","通化里"
"276","DI00409883",2,1.45670387129211,1,"內湖區","樂康里"
"277","DI00409920",2,1.01155555555556,1,"中山區","成功里"
"278","DI00409940",2,1.12743333333333,1,"大同區","朝陽里"
"279","DI00410112",2,1.033,1,"內湖區","金龍里"
"280","DI00410190",2,1.19311904761905,1,"文山區","順興里"
"281","DI00410225",2,1.11056666666667,1,"南港區","舊莊里"
"282","DV00575707",2,1.44184761904762,1,"中山區","正義里"
"283","DV00576393",2,1.2432,1,"信義區","三犁里"
"284","DV00576851",2,1.01806666666667,1,"文山區","政大里"
"285","DV00577761",2,1.15495714285714,1,"中山區","中山里"
"286","DV00577885",2,1.15533333333333,1,"松山區","中正里"
"287","DV00579181",2,1.57742575757576,1,"大安區","正聲里"
"288","DV00579401",2,1.22663333333333,1,"文山區","政大里"
"289","DV00580481",2,1.09346666666667,1,"士林區","福志里"
"290","DV00581144",2,1.02756666666667,1,"北投區","吉慶里"
"291","DV00581502",2,1.28162222222222,1,"信義區","三張里"
"292","DV00582481",2,1.14544761904762,1,"中正區","南福里"
"293","DV00582482",2,1.19981428571429,1,"中正區","南福里"
"294","DV00582645",2,1.12448484848485,1,"萬華區","青山里"
"295","DV00582701",2,1.37143333333333,1,"中山區","行孝里"
"296","DV00584238",2,1.21708279220779,1,"北投區","尊賢里"
"297","DV00586241",2,1.38815671550672,1,"士林區","福志里"
"298","DV00586481",2,1.29998112443112,1,"松山區","復勢里"
"299","DV00587641",2,1.2706043956044,1,"大同區","鄰江里"
"300","DV00589121",2,1.23859374183981,1,"士林區","承德里"
"301","DV00590524",2,1.15025223110223,1,"北投區","立農里"
