"","town","avg_predict"
"203","龍陣里",1.28697640647451
"204","龍洲里",1.183870998446
"205","蘆洲里",1.18326635190818
"206","綠堤里",1.18273516206016
"207","梅花里",1.27044126857997
"208","美仁里",1.39287891013748
"209","民安里",1.21648543518693
"210","民福里",1.25446605232401
"211","民輝里",1.3478584718721
"212","民權里",1.28468663078409
"213","民有里",1.25498572168349
"214","民炤里",1.33669176190666
"215","名山里",1.28379280105944
"216","明湖里",1.05270606060606
"217","明勝里",1.27460861674688
"218","明興里",1.27098592599974
"219","明義里",1.21105543352654
"220","銘德里",1.34511721236322
"221","木柵里",1.2237068009768
"222","木新里",1.31676994394494
"223","南芳里",1.57502146733417
"224","南福里",1.2567420503108
"225","南港里",1.16342465643036
"226","南湖里",1.30789537945147
"227","南門里",1.04246666666667
"228","內溝里",1.22217243867244
"229","內湖里",1.2355958794413
"230","蓬萊里",1.30033806988125
"231","鵬程里",1.4106807787185
"232","埤頭里",1.25513095238095
"233","平等里",1.20491599378882
"234","奇岩里",1.34332774470988
"235","前港里",1.18472153401722
"236","青山里",1.13294878058449
"237","清白里",1.44329558486875
"238","清江里",1.29012346780567
"239","晴光里",1.1583954276798
"240","全安里",1.35516556550886
"241","全德里",1.22747304634634
"242","泉源里",1.23997678571429
"243","群賢里",1.28411535338571
"244","群英里",1.39831052330023
"245","仁愛里",1.24197398351909
"246","仁慈里",1.20374107161901
"247","仁德里",1.2111548245614
"248","仁福里",1.22207458011275
"249","仁勇里",1.29141692124668
"250","日善里",1.37330431574598
"251","日祥里",1.28109303430301
"252","榮德里",1.15958856143856
"253","榮光里",1.332563302922
"254","榮華里",1.30981057073404
"255","瑞光里",1.32652076487745
"256","瑞陽里",1.35404470606366
"257","三愛里",1.24239905282626
"258","三犁里",1.30546677043778
"259","三民里",1.21581514892661
"260","三玉里",1.23952854554865
"261","三張里",1.33383664870877
"262","三重里",1.23563761228938
"263","廈安里",1.42871763620657
"264","社新里",1.30268544063612
"265","社園里",1.37446873658649
"266","社子里",1.21576233970278
"267","聖山里",1.30932751893622
"268","石牌里",1.28791071761572
"269","石潭里",1.34127637709513
"270","試院里",1.24027727970197
"271","壽德里",1.2010838418342
"272","雙和里",1.30268400507681
"273","雙連里",1.17000799187974
"274","雙園里",1.26189792035802
"275","水源里",1.28022301726052
"276","順興里",1.19186075905978
"277","斯文里",1.32812028101381
"278","四維里",1.31248412698413
"279","四育里",1.22872541349978
"280","松光里",1.17739522878555
"281","松基里",1.2166213952714
"282","松江里",1.16762309748223
"283","松隆里",1.18537493184869
"284","松友里",1.28097079456491
"285","泰和里",1.39816539635254
"286","糖?里",1.27076459916172
"287","桃源里",1.22028646576696
"288","騰雲里",1.26589199134199
"289","天福里",1.31968169621334
"290","天和里",1.44360422402769
"291","天祿里",1.57536853842068
"292","天母里",1.1635579506457
"293","天山里",1.36546383425747
"294","天壽里",1.2301527728903
"295","天玉里",1.38066707403465
"296","通安里",1.24586224011898
"297","通化里",1.20723887180209
"298","萬芳里",1.35573126019428
"299","萬福里",1.62933203463203
"300","萬和里",1.33974093296409
"301","萬隆里",1.32242237651963
"302","萬美里",1.24404543945593
"303","萬年里",1.2679861906884
"304","萬盛里",1.19565307359307
"305","萬壽里",1.23040597084729
"306","萬祥里",1.27362174914282
"307","萬興里",1.13670955481716
"308","萬有里",1.2863
"309","網溪里",1.4554511679482
"310","溫泉里",1.21909851370851
"311","文北里",1.66886739439468
"312","文化里",1.35719485922502
"313","文林里",1.20787624017094
"314","文盛里",1.26584998612499
"315","文祥里",1.30451890815278
"316","五常里",1.31321183601596
"317","五分里",1.32555021102563
"318","五全里",1.32727255776045
"319","溪山里",1.14125151515152
"320","西安里",1.1319
"321","西村里",1.19730559988712
"322","西湖里",1.37197012613225
"323","西康里",1.22963351909326
"324","西門里",1.28851693283568
"325","西新里",1.26133370239813
"326","下埤里",1.28375791657837
"327","孝德里",1.21691363320998
"328","新安里",1.34420962132078
"329","新東里",1.21271794771477
"330","新福里",1.31613530715316
"331","新富里",1.35976692936267
"332","新光里",1.34355315623446
"333","新和里",1.30356185178605
"334","新聚里",1.23911984885485
"335","新龍里",1.26183839763178
"336","新起里",1.26391600106955
"337","新仁里",1.37677630702344
"338","新生里",1.19961777298788
"339","新喜里",1.04290199014695
"340","新益里",1.39236263491683
"341","新營里",1.4157932018122
"342","新忠里",1.38022503029385
"343","新庄里",1.25474913985224
"344","星明里",1.27751965965
"345","行仁里",1.2895048006926
"346","行善里",1.25368294208515
"347","行孝里",1.18222233826779
"348","行政里",1.19949679559571
"349","幸福里",1.32479315485641
"350","幸市里",1.2433748962149
"351","興安里",1.30075070213886
"352","興邦里",1.26980417722342
"353","興昌里",1.24415993307225
"354","興得里",1.26716042481428
"355","興德里",1.56068694953414
"356","興豐里",1.31247976694308
"357","興福里",1.38107076133327
"358","興光里",1.25412305752999
"359","興家里",1.35037867393661
"360","興隆里",1.32005322941426
"361","興泰里",1.34497070360195
"362","興旺里",1.27691466181956
"363","興雅里",1.25800470733976
"364","興亞里",1.23539325661567
"365","興業里",1.32278878127258
"366","秀湖里",1.32081207509243
"367","秀山里",1.27826659662801
"368","學府里",1.002
"369","雅祥里",1.38941011971303
"370","延平里",1.22403494676172
"371","岩山里",1.23869437160062
"372","陽明里",1.38798282828283
"373","揚雅里",1.20302075447428
"374","一德里",1.33659512334477
"375","義安里",1.263868886111
"376","義村里",1.19835319576291
"377","義信里",1.20170929641125
"378","螢圃里",1.3420363637597
"379","螢雪里",1.38665550848038
"380","永安里",1.19959111317975
"381","永昌里",1.40387185104352
"382","永春里",1.26732905643739
"383","永福里",1.19586664076664
